GEO UID ,Census Tract name ,Total Education,No certificate,High (secondary) school,Postsecondary  Education
5350045,0045.00,2140,235,395,1510
5350046,0046.00,2010,245,465,1305
5350047.02,0047.02,2120,420,425,1270
5350047.03,0047.03,790,25,115,650
5350047.04,0047.04,1725,65,260,1395
5350048,0048.00,2145,105,350,1690
5350049,0049.00,2020,30,275,1725
5350050.01,0050.01,4995,125,550,4325
5350050.03,0050.03,705,0,95,610
5350050.04,0050.04,2805,125,375,2310
5350051,0051.00,2960,70,290,2600
5350052,0052.00,2620,75,345,2200
5350053,0053.00,3890,445,640,2800
5350054,0054.00,3515,260,545,2710
5350055,0055.00,1825,55,325,1445
5350056,0056.00,2860,150,490,2225
5350057,0057.00,1425,80,210,1140
5350058,0058.00,2395,60,280,2060
5350059,0059.00,1910,60,285,1565
5350060,0060.00,1600,30,155,1415
5350061,0061.00,520,20,60,440
5350062.01,0062.01,2335,15,230,2085
5350062.03,0062.03,1980,15,165,1800
5350062.04,0062.04,5160,85,390,4685
5350063.03,0063.03,3745,55,405,3275
5350063.04,0063.04,3535,205,490,2840
5350063.05,0063.05,4365,55,430,3890
5350063.06,0063.06,4195,150,560,3480
5350064,0064.00,3820,105,545,3165
5350065.01,0065.01,1910,70,295,1545
5350065.02,0065.02,6825,905,1505,4415
5350066,0066.00,4750,215,900,3635
5350067,0067.00,1000,10,80,915
5350068,0068.00,1405,35,145,1220
5350069,0069.00,2710,180,315,2215
5350070,0070.00,1945,45,215,1690
5350071,0071.00,1800,60,215,1525
5350072.01,0072.01,2540,240,475,1825
5350072.02,0072.02,1810,145,315,1350
5350073,0073.00,1635,220,295,1125
5350074,0074.00,2355,245,465,1655
5350075,0075.00,2175,145,335,1695
5350076,0076.00,2470,155,395,1915
5350077,0077.00,2680,195,385,2105
5350078,0078.00,3595,185,580,2830
5350079,0079.00,4110,145,580,3385
5350080.01,0080.01,2315,140,455,1725
5350080.02,0080.02,2995,360,610,2025
5350081,0081.00,1645,95,290,1260
5350082,0082.00,1540,75,265,1205
5350083,0083.00,2135,140,320,1675
5350084,0084.00,2005,50,210,1745
5350085,0085.00,2375,90,310,1965
5350086,0086.00,1240,0,105,1140
5350087,0087.00,2210,40,230,1945
5350088,0088.00,1730,55,165,1515
5350089,0089.00,2915,50,375,2495
5350090,0090.00,2350,55,250,2050
5350091.01,0091.01,3185,40,305,2845
5350091.02,0091.02,2080,105,270,1710
5350092,0092.00,4400,105,465,3820
5350093,0093.00,3125,75,370,2685
5350094,0094.00,3145,270,560,2315
5350095,0095.00,1715,110,245,1360
5350096.01,0096.01,970,135,205,625
5350096.02,0096.02,2115,175,445,1490
5350097.01,0097.01,2465,260,470,1735
5350097.03,0097.03,1545,200,295,1050
5350097.04,0097.04,3305,470,670,2165
5350098,0098.00,4505,505,775,3225
5350099,0099.00,4175,150,595,3430
5350100,0100.00,1895,100,260,1535
5350101,0101.00,2235,105,330,1800
5350102.02,0102.02,3115,145,405,2565
5350102.03,0102.03,2530,55,280,2195
5350102.04,0102.04,440,0,55,375
5350102.05,0102.05,435,0,65,365
5350103,0103.00,3345,55,315,2975
5350104,0104.00,3180,45,335,2795
5350105,0105.00,2525,100,395,2030
5350106,0106.00,2325,320,460,1550
5350107,0107.00,2960,670,750,1545
5350108,0108.00,3535,625,970,1945
5350109,0109.00,3435,405,685,2350
5350110,0110.00,2195,270,345,1575
5350111,0111.00,1455,315,330,810
5350112,0112.00,2845,400,585,1860
5350113,0113.00,1495,85,295,1115
5350114,0114.00,2685,150,450,2085
5350115,0115.00,2545,315,560,1665
5350116,0116.00,2335,55,325,1955
5350117,0117.00,1555,45,185,1325
5350118,0118.00,2025,40,220,1775
5350119,0119.00,2620,50,330,2240
5350120,0120.00,715,10,45,660
5350121,0121.00,1555,30,140,1390
5350122,0122.00,3535,60,340,3135
5350123,0123.00,1690,80,230,1380
5350124,0124.00,2845,80,335,2430
5350125,0125.00,2030,10,120,1900
5350126,0126.00,2245,40,225,1980
5350127,0127.00,2845,45,290,2500
